       3.3                 -925.153079   -2428989.41
       5.0                 -925.127067   -2428921.11
       6.5                 -925.124391   -2428914.09
       7.0                 -925.12416   -2428913.48
	7.25		-925.124074   -2428913.26
#       8.0                 -925.110314   -2428877.13
       4.5                 -925.130522   -2428930.19
       3.8                 -925.142737   -2428962.26
       3.2                 -925.153274   -2428989.92
       3.4                  -925.15181   -2428986.08
       4.0                 -925.138247   -2428950.47
       6.0                  -925.12481   -2428915.19
#      10.0                 -925.107794   -2428870.51
       2.8                 -925.129059   -2428926.35
       2.9                 -925.140958   -2428957.59
       3.0                 -925.148122   -2428976.39
       3.1                 -925.151873   -2428986.24

