#dist   eS1 (ha)
       2.8    -771.69587
       3.0   -771.709667
       3.1    -771.71403
       3.2   -771.716054
       3.3   -771.716892
       3.4   -771.717865
       3.6   -771.717265
       4.0   -771.714003
       4.5   -771.710886
       5.0   -771.709694
       5.5   -771.709455
       6.0   -771.709475
       8.0   -771.709762
      10.0   -771.709872
