# column data | 0: complex name, 1: homodimer, 2: oxygenated, 3: complex heavy atom mass, 4: num overlapping heavy atoms
# 5: large mon planarity index; 6: small mon planarity index, 7: large mon mass, 8: small mon mass
# 9: large mon bandgap, 10: small mon bandgap, 11: large mon emission
# 12: small mon emission, 13: complex emission, 14: eBind 15: inertia ratio big, 16: inertia ratio small 
# 17: diameter large mon, 18: diameter small mon, 19: large mon rings, 20: small mon rings, 21: large mon clar sextets
# 22: small mon clar sextets, 23: avg interatomic distance, 24: avg bond length, 25: La?, 26: Large mon Avg bond len, 27: Small mon avg bond len
benzapyr_benzapyr        1  0  480.00  20   0.0435  0.0435  240.00  240.00  192.34539  192.34539  375.0000  375.0000  619.1000  -803.40  0.7799  0.7799  9.29  9.29  5 5 2 2 3.8646 1.4080 1  1.40823 1.40823
naph_coro                0  0  408.00  0    0.0171  0.0103  288.00  120.00  175.44813  148.72245  376.1000  281.3000  384.6000  -710.42  0.5001  0.7326  7.48  7.06  6 2 3 1 4.0337 1.4083 0  1.41047 1.40882
pyr_pyr                  1  0  384.00  16   0.0269  0.0269  192.00  192.00  174.89388  174.89388  331.2000  331.2000  499.0000  -579.09  0.6555  0.6555  7.04  7.04  4 4 2 2 3.2184 1.4063 1  1.40903 1.40903
coro_phen                0  0  456.00  14   0.0218  0.0069  288.00  168.00  175.44813  151.14329  376.1000  314.2000  398.5000  -737.71  0.5002  0.7577  7.48  7.48  6 3 3 2 4.0071 1.4088 0  1.41047 1.40833
naph_pyr                 0  0  312.00  0    0.0409  0.0136  192.00  120.00  174.89388  148.72245  331.2000  281.3000  396.6000  -522.76  0.6555  0.7349  6.03  5.06  4 2 2 1 3.0957 1.4056 0  1.40903 1.40882
fluor_naph               0  0  312.00  0    0.0379  0.0172  192.00  120.00  169.89840  148.72245  438.9000  281.3000  468.2000  -557.87  0.6821  0.7351  7.05  5.06  3 2 2 1 3.4824 1.4060 1  1.40942 1.40882
fluor_anth               0  0  360.00  1    0.0436  0.0104  192.00  168.00  169.89840  183.72986  438.9000  365.0000  515.9000  -558.14  0.6822  0.8415  7.44  7.44  3 3 2 1 3.4317 1.4063 1  1.40942 1.40436
naph_phen                0  0  288.00  9    0.0311  0.0286  168.00  120.00  151.14329  148.72245  314.2000  281.3000  401.9000  -467.17  0.7590  0.7373  6.03  5.08  3 2 2 1 3.0170 1.4042 1  1.40833 1.40882
anth_phen                0  0  336.00  11   0.0428  0.0492  168.00  168.00  183.72986  151.14329  365.0000  314.2000  441.0000  -486.35  0.8436  0.7584  7.47  7.47  3 3 1 2 3.2841 1.4044 1  1.40436 1.40833
phen_phen                1  0  336.00  14   0.0084  0.0084  168.00  168.00  151.14329  151.14329  314.2000  314.2000  380.7000  -462.10  0.7586  0.7586  7.11  7.11  3 3 2 2 3.1584 1.4054 0  1.40833 1.40833
fluor_fluor              1  0  384.00  16   0.0200  0.0200  192.00  192.00  169.89840  169.89840  438.9000  438.9000  515.3000  -515.24  0.6806  0.6806  6.87  6.87  3 3 2 2 3.3135 1.4079 1  1.40942 1.40942
phen_pyr                 0  0  360.00  14   0.0186  0.0124  192.00  168.00  174.89388  151.14329  331.2000  314.2000  437.2000  -500.68  0.6559  0.7610  7.11  7.11  4 3 2 2 3.2890 1.4059 1  1.40903 1.40833
tri_tri                  1  0  432.00  18   0.0074  0.0074  216.00  216.00  152.67378  152.67378  317.8000  317.8000  374.7000  -743.10  0.5000  0.5000  7.09  7.09  3 3 3 3 3.5964 1.4088 0  1.41049 1.41049
chrys_chrys              1  0  432.00  18   0.0807  0.0807  216.00  216.00  165.17378  165.17378  332.3000  332.3000  466.2000  -734.55  0.8416  0.8416  9.34  9.34  4 4 2 2 3.8304 1.4074 1  1.40910 1.40910
chrys_naph               0  0  336.00  10   0.0719  0.0063  216.00  120.00  165.17378  148.72245  332.3000  281.3000  377.3000  -579.75  0.8401  0.7340  7.73  5.06  4 2 2 1 3.5503 1.4062 1  1.40910 1.40882
benza_naph               0  0  336.00  8    0.0234  0.0256  216.00  120.00  178.68332  148.72245  351.5000  281.3000  461.6000  -698.65  0.8326  0.7362  9.34  5.11  4 2 1 1 3.7931 1.4054 1  1.40724 1.40882
benzapyr_naph            0  0  360.00  0    0.0715  0.0135  240.00  120.00  192.34539  148.72245  375.0000  281.3000  448.3000  -646.35  0.7809  0.7351  9.30  7.48  5 2 2 1 4.0084 1.4064 1  1.40823 1.40882
naph_anth                0  0  288.00  10   0.0337  0.0307  168.00  120.00  183.72986  148.72245  365.0000  281.3000  484.2000  -649.99  0.8436  0.7364  6.04  5.07  3 2 1 1 3.0326 1.4035 1  1.40436 1.40882
anth_benz                0  0  240.00  0    0.0367  0.0039  168.00  72.00  183.72986  113.83922  365.0000  233.4000  375.5000  -490.49  0.8440  0.5008  7.48  2.78  3 1 1 1 3.5834 1.4010 1  1.40436 1.41468
benz_pyr                 0  0  264.00  0    0.0086  0.0006  192.00  72.00  174.89388  113.83922  331.2000  233.4000  335.7000  -439.75  0.6518  0.5002  6.15  2.78  4 1 2 1 3.3845 1.4049 0  1.40903 1.41468
naph_tet                 0  0  336.00  10   0.0088  0.0159  216.00  120.00  210.22804  148.72245  454.9000  281.3000  549.7000  -691.33  0.8974  0.7350  8.13  5.06  4 2 1 1 3.6294 1.4042 1  1.40525 1.40882
naph_tri                 0  0  336.00  0    0.0158  0.0042  216.00  120.00  152.67378  148.72245  317.8000  281.3000  351.9000  -479.73  0.5004  0.7337  7.40  5.06  3 2 3 1 3.4739 1.4068 1  1.41049 1.40882
benza_anth               0  0  384.00  9    0.0425  0.0520  216.00  168.00  178.68332  183.72986  351.5000  365.0000  588.9000  -767.27  0.8321  0.8429  9.33  7.50  4 3 1 1 3.7333 1.4057 1  1.40724 1.40436
dibenz_dibenz            1  0  528.00  22   0.0520  0.0521  264.00  264.00  178.39159  178.39159  360.5000  360.5000  538.8000  -1666.55  0.8057  0.8057  10.07  10.07  5 5 3 3 4.4315 1.4093 1  1.40885 1.40885
bbtri_bbtri              1  0  528.00  22   0.0475  0.0475  264.00  264.00  178.51530  178.51530  341.8000  341.8000  564.4000  -1673.12  0.6933  0.6933  9.31  9.31  5 5 3 3 4.2440 1.4098 -1  1.40993 1.40993
bbchrys_bbchrys          1  0  528.00  22   0.0480  0.0481  264.00  264.00  188.76661  188.76661  377.9000  377.9000  629.3000  -1677.06  0.8863  0.8863  11.64  11.64  5 5 2 2 4.5672 1.4091 1  1.40769 1.40769
bnaph_bnaph              1  0  528.00  22   0.0616  0.0617  264.00  264.00  208.80793  208.80793  435.6000  435.6000  850.9000  -1887.33  0.8845  0.8845  11.65  11.65  5 5 2 2 4.6638 1.4090 1  1.40677 1.40677
penta_penta              1  0  528.00  22   0.0720  0.0721  264.00  264.00  239.99280  239.99280  545.5000  545.5000  1357.7000  -1773.54  0.9279  0.9279  12.31  12.31  5 5 1 1 4.8461 1.4087 1  1.40619 1.40619
anth_pyr                 0  0  360.00  0    0.0613  0.0097  192.00  168.00  174.89388  183.72986  331.2000  365.0000  472.6000  -643.14  0.6554  0.8421  6.43  5.43  4 3 2 1 3.1577 1.4056 1  1.40903 1.40436
fluor_benz               0  0  264.00  0    0.0049  0.0027  192.00  72.00  169.89840  113.83922  438.9000  233.4000  453.6000  -536.38  0.6760  0.5012  7.88  2.78  3 1 2 1 3.8894 1.4055 1  1.40942 1.41468
anth_coro                0  0  456.00  0    0.0381  0.0220  288.00  168.00  175.44813  183.72986  376.1000  365.0000  445.5000  -743.84  0.5009  0.8420  7.88  7.46  6 3 3 1 3.8664 1.4084 1  1.41047 1.40436
perl_perl                1  0  480.00  20   0.0128  0.0128  240.00  240.00  204.39971  204.39971  422.3000  422.3000  707.8000  -793.40  0.6578  0.6578  7.51  7.51  4 4 2 2 3.7248 1.4084 1  1.40821 1.40821
pentaph_pentaph          1  0  528.00  22   0.0185  0.0186  264.00  264.00  180.86653  180.86653  378.7000  378.7000  511.1000  -1319.98  0.8498  0.8498  11.44  11.44  5 5 2 2 4.5833 1.4084 1  1.40806 1.40806
pice_pice                1  0  528.00  22   0.0252  0.0252  264.00  264.00  168.03558  168.03558  346.0000  346.0000  443.3000  -1543.98  0.8767  0.8767  11.43  11.43  5 5 3 3 4.4981 1.4098 1  1.40950 1.40950
benz_benz                1  0  144.00  6    0.0069  0.0069  72.00  72.00  113.83922  113.83922  233.4000  233.4000  304.3000  -263.01  0.5000  0.5000  2.80  2.80  1 1 1 1 1.7432 1.4013 0  1.41468 1.41468
coro_benz                0  0  360.00  0    0.0176  0.0008  288.00  72.00  175.44813  113.83922  376.1000  233.4000  379.3000  -504.17  0.5001  0.5001  7.48  2.78  6 1 3 1 3.9765 1.4073 0  1.41047 1.41468
naph_perl                0  0  360.00  2    0.0403  0.0173  240.00  120.00  204.39971  148.72245  422.3000  281.3000  460.7000  -602.76  0.6556  0.7332  7.49  5.05  4 2 2 1 3.5790 1.4059 1  1.40821 1.40882
bgchrys_bgchrys          1  0  528.00  0    0.2812  0.3313  264.00  264.00  173.39303  173.39303  350.1000  350.1000  469.6000  4437435.57  0.6767  0.6800  9.31  9.31  5 5 3 3 4.0792 1.4108 1  1.41058 1.41058
dbphen_dbphen            1  0  528.00  0    0.5429  0.5814  264.00  264.00  170.82392  170.82392  372.2000  372.2000  402.9000  4437342.92  0.6690  0.6767  7.67  7.67  5 5 3 3 3.9575 1.4376 1  1.40967 1.40967
